,sentence,class
0,One of the other reviewers has mentioned that after watching just 1 Oz episode you'll be hooked.,0
1,"A wonderful little production. The filming technique is very unassuming- very old-time-BBC fashion and gives a comforting, and sometimes discomforting, sense of realism to the entire piece.",0
2,"I thought this was a wonderful way to spend time on a too hot summer weekend, sitting in the air conditioned theater and watching a light-hearted comedy.",0
3,Basically there's a family where a little boy (Jake) thinks there's a zombie in his closet & his parents are fighting all the time.This movie is slower than a soap opera...,0
4,"Petter Mattei's ""Love in the Time of Money"" is a visually stunning film to watch. Mr. Mattei offers us a vivid portrait about human relations.",0
5,"Probably my all-time favorite movie, a story of selflessness, sacrifice and dedication to a noble cause, but it's not preachy or boring.",0
6,I sure would like to see a resurrection of a up dated Seahunt series with the tech they have today it would bring back the,0
7,"This show was an amazing, fresh & innovative idea in the 70's when it first aired. The first 7 or 8 years were brilliant, but things dropped off after that.",0
8,Encouraged by the positive comments about this film on here I was looking forward to watching this film. Bad mistake.,0
9,If you like original gut wrenching laughter you will like this movie.,0
10,Phil the Alien is one of those quirky films where the humour is based around the oddness of everything rather than actual punchlines.At first it,0
11,I saw this movie when I was about 12 when it came out. I recall the scariest scene was the big bird eating men dangling,0
12,So im not a big fan of Boll's work but then again not many are. I enjoyed his movie Postal (maybe im the only one).,0
13,"The cast played Shakespeare.Shakespeare lost.I appreciate that this is trying to bring Shakespeare to the masses, but why ruin something so good.Is it because 'The",0
14,This a fantastic movie of three prisoners who become famous. One of the actors is george clooney and I'm not a fan but this roll is not bad.,0
15,"Kind of drawn in by the erotic scenes, only to realize this was one of the most amateurish and unbelievable bits of film I've ever seen.",0
16,Some films just simply should not be remade. This is one of them. In and of itself it is not a bad film.,0
17,This movie made it into one of my top 10 most awful movies. Horrible. There wasn't a continuous minute where there wasn't a fight with one monster or another.,0
18,"I remember this film,it was the first film i had watched at the cinema the picture was dark in places i was very nervous it",0
19,An awful film! It must have been up against some real stinkers to be nominated for the Golden Globe.,0
20,"After the success of Die Hard and it's sequels it's no surprise really that in the 1990s, a glut of 'Die Hard on a .",0
