sentence,class
gilson well defend the goal on your left theyll be kicking off there in thdarke  jerseys and receiving on your right will be ballast,0
there in the white jerseys they wrecked me today as harold born the umpire bob finley the head linesman bull mcallister the back judges you,0
gambhir the field judges bend right and the alternator s wall partner now the honor referee honoraria referee is one of our great astronauts gus,0
grissom to a station here in our space center in houston and gus grissom is teeing up the ball as the honorary referee george blanda,0
shaky dan lander will kick off for houston these teams flip this year dallas winning here in houston and houston beating dallas in dallas when,0
who the football hey grayson and james is 28 grayson is 45 hitting a sideline clara were waiting the wind is in favor of houston,0
and the american football league and a good game to pitch the two of them away moving on the five wasting to the 2025 there,0
s no pepper blotting down so well have a dallas first down on their 28th they backfield now for dallas will be when dawson number,0
16 abner haynes is 28 he s a left half curtis mcclinton 32 to fullback and frank jack the spices in there they got the,0
big backfield in two fullbacks in right now right to the plant and they flip haynes on the wing to play number 43 and gary,0
cut singer number 80 bird i think we might as well mention right now i believe these people watching the ballgame can hear this this,0
crowd is almost to the point of hysteria before the ballgame began so you can expect a lot of delays by the quarterbacks when our,0
own players cant hear their signals today second down five to go for the dallas texans on their own 33 lenny dawson brings them up,0
blank wide left that s putting the end 35 of the 37 had moosman stop team there he is curtis mcclinton number 32 the rookie,0
of the year the american football league and a former allamerican at camden he finished hilton iligan rushing and did not play much in the,0
first four games 230 and he can move as planned most of the time throws the ball pretty much with a van and he throws,0
quite often and i think he s thrown about a third more passes than dawson this season all right george blanda number 16 the veteran,0
quarterback give the pilot charlie colors at the 45 into the 47 bob schmidt was blocking for him davis in the rochester in on the,0
stop three yard gain second down seven youll see toller s paul mentioned a very unusual running style he s only five feet six and,0
waves a hundred and ninety eight pound really built low to the ground and he s hard to bring down he was second in the,0
league in rushing a third in the league hanigan his flank wide right and duvall the split left in there s a draw off the,0
color color rips up to the 49 number 56 is cory and cheryl henrique number 69 hank stram dallas coach to the press box with,0
a spotter youve just seen taller twice youve seen seen something youll see all day he s always apparently stopped for a yard or two,0
loss and he ends up with a yard or two gain even when that line is in on it he is really tough to bring,0
down he s quite a squirmer third down five to go for houston on their 49 theyre in their double wing set up now blanda,0
looking good protection and again with shackles by bobby slide number 14 formerly available this sound for houston when you saw him line up as,0
you did there with nobody in the offensive back field except lando theyre all out on the flanker this means he s got at least,0
five receivers to throw to because theyll all go downfield tanana toller is set deep hennigan flank left dropped the cannon trying to get outside,0
235 at the free $2600 he was brought down get hard there by aj holub talimena he was moving out the block for him now,0
they have a second down for houston threatening here early in his game no score landed the quarterback number 16 cannon left at number 20,0
solar 44 the fullback and hennigan 87 the flanker with duvall and mcleod attend solar trying to move that first down as play resumed here,0
in houston texas the houston others have the ball on the dallas texans 16 yard line second down and six houston now in the midst,0
of a 40 yard drive that was carried from home 44 and again wide right back and that pipe bobby fly tripped him up bob,0
schmidt was leading the way for him also on that play was big jerry mays number 75 lulu s and sideline the sidelines with his,0
255 pounds at the 12 yard line third down and 2 the goal or the houston oilers same setup with canada thrower deep they get,0
at the cannon the linebackers and then send billy cannon wide the faculty bill hall number 85 defensive left in and bobby fly number 14,0
that was it kurt that was a nice call by bland a fine call because everybody was expecting the fullback taller to hit for that,0
short yards and he faked him up the middle and drew that defense in first down goal the goal for the houston oilers on the,0
ballast section five panting wraps up on the 4 yard line by jerry mays in each a hollow jaeha lobe in his second year in,0
pro football the name do the all american football league team has a linebacker in fact youll see two outstanding linebackers for dallas today barrelhead,0
rig number 69 also was an allpoint the throw choice second down four to go for a houston touchdown theyre just over the dallas five,0
well call it the four we have no score eight minutes ten seconds to go in the first period plan of the canon canon knock,0
down on the nine yard line by a mad branch number 87 and by dave grace in the right corner man number 45 we really,0
fired through now it s third down and nine the goal for a houston touchdown theyre both playing is rather cautiously both quarterbacks occurred but,0
i would suspect youd almost have to see a throw now for the five yards ago and if it fails come up with a field,0
goal but theyve both stayed on the ground there s been only one pass in the ball game up to now theyre down nine to,0
go for houston theyre on the dallas nine and again goes wide right blue ball split in left planta fading on third down bacala houston,0
there goes home for the key intersection and greeted by smugly sober one of the texas lyman made a fine fighters holub right there made,0
a fine defensive play because he hit planted just as he was throwing and that was the result of that wounded pigeon throw as you,0
saw it fall down into hollis hands so dallas has the ball mister their first two first down of the game dallas on their 48th,0
first down we have no score six minutes 54 seconds left to play in the first period ames as a flanker back again the spikes,0
in mcclinton set beat two fullbacks in the dallas backfield here s mcclinton in the houston territory and out of bounds on the houston 45,0
curtis mcclinton the big rookie pull back knocked down and out by freddy glick the right safety man of houston now reynolds the right guard,0
was pulling for him and leading away there was a gain of seven if second down and three to go and for the first time,0
in the game dallas is in houston territory let s see what they do now second and three the pastor hain is completed it s,0
good at the 37 yard line well be a first down fidelis dont even feel on top of abner haynes the second leading rusher in,0
the american league first down dallas their second first down in the game but crisper firt injured dallas has changed their backfield perfer it is,0
by far the outstanding pass receiver on the dallas team so for the championship game is at two fullbacks in the lineup and put haynes,0
out on the plane first down dallas on the houston 37 cross to mcclinton at the 35 and the quickly running it inside the 30,0
out of bounds in the houston 29 culpepper drove him out number 78 of course one thing they accomplished too by using the two fullbacks,0
is the deep man in the backfield if theyre not running they have great pass protection for lenny dawson because youve got the two big,0
boys in there to block dallas grinding it out now they stop the houston touchdown threat dallas now is carried from their 43 after the,0
interception by ej holub theyre now on the houston twenty nine with a second down and two to go dawson on second down there s,0
a lot passionately he did not have control and possession it was antennae for mclaren on that tumbling attempt but it all ends up as,0
an incomplete forward pass into the third down and two to go he sure had it long enough as he was going down looked like,0
a juggling act five minutes 53 seconds to go in the first period no score panes wide left to tighten up and both ends in,0
price the fake to mcclinton dec fights off mike duke sarah winning and that was a great class slides awesome he had a leading purposely,0
and drop it here s your signal motion declined by houston dallas loses it down in his fourth and three for dallas on the houston,0
eight i felt pretty sure that they would refuse the penalty kurt because it does no good to get a five yard family and then,0
i have them attempt a field goal it s no difference from that distance it would give another opportunity to throw all right tommy butcher,0
will attempt the kick holding his gospel he spotted on the 15 yard line wide angle from the far side and the kick the store,0
jefferson city in the dallas section 3 of the houston oilers nothing tommy booker who just looted that field goal to put dallas in front,0
will kickoff bobby jensen closest to you billy cannon on the far side deep for houston it s a lowland dancing fields it on the,0
10 he s in trouble he s up to the 15 to the 20 25 by dancing and it looked like he was going to,0
be 10 inside of his 15 said green was downfield to hit him first and bring him down so it s houston s fall now,0
first down on their 28th george blanda running a team quarterback theyve got a double wing a clot on an end theyve got everybody fred,0
